"sF","treid","slice","X","Y","Z"
"V500","s01.asc",0.5,0.397459999999999,0.50431,0.28857
"V500","s01.asc",0.5,0.822569999999999,0.48546,0.25611
"V500","s01.asc",0.5,0.629619999999999,0.274569999999999,0.656230000000001
"V500","s01.asc",0.5,0.573789999999999,0.673309999999999,0.27439
"V500","s01.asc",1,0.38176,0.479089999999999,1.15344
"V500","s01.asc",1,0.779059999999998,0.46027,0.759790000000001
"V500","s01.asc",1,0.564309999999999,0.242749999999999,1.24712
"V500","s01.asc",1,0.564129999999999,0.64167,0.835100000000001
"V500","s01.asc",1.5,0.362130000000001,0.38608,1.74319
"V500","s01.asc",1.5,0.747719999999997,0.424160000000001,1.25199
"V500","s01.asc",1.5,0.542549999999999,0.20077,1.74211
"V500","s01.asc",1.5,0.544560000000001,0.59919,1.25272
"V500","s01.asc",2,0.332169999999998,0.330629999999999,2.20452
"V500","s01.asc",2,0.70926,0.364269999999999,1.75277
"V500","s01.asc",2,0.514679999999998,0.159330000000001,2.24841
"V500","s01.asc",2,0.538999999999998,0.55326,1.77935
"V500","s01.asc",2.5,0.288209999999999,0.30537,2.74937
"V500","s01.asc",2.5,0.67408,0.32892,2.26032
"V500","s01.asc",2.5,0.457169999999998,0.127660000000001,2.74895
"V500","s01.asc",2.5,0.479579999999999,0.507579999999999,2.25416
"V500","s01.asc",3,0.24455,0.268829999999999,3.24126
"V500","s01.asc",3,0.623889999999999,0.28429,2.87043
"V500","s01.asc",3,0.42409,0.0963599999999989,3.24681
"V500","s01.asc",3,0.46753,0.470940000000001,2.76665
"V500","s01.asc",3.5,0.19914,0.24868,3.73771
"V500","s01.asc",3.5,0.575509999999998,0.236319999999999,3.25266
"V500","s01.asc",3.5,0.391639999999999,0.060929999999999,3.74457
"V500","s01.asc",3.5,0.414939999999998,0.43901,3.28989
"V500","s01.asc",4,0.147089999999999,0.21428,4.23914
"V500","s01.asc",4,0.522749999999998,0.228819999999999,3.79081
"V500","s01.asc",4,0.31954,0.0325100000000003,4.21592
"V500","s01.asc",4,0.387989999999999,0.39705,3.75304
"V500","s01.asc",4.5,0.10202,0.17595,4.7363
"V500","s01.asc",4.5,0.475739999999998,0.198370000000001,4.25125
"V500","s01.asc",4.5,0.29786,0.0244,4.61468
"V500","s01.asc",4.5,0.343070000000001,0.369529999999999,4.27772
"V500","s01.asc",5,0.0384299999999982,0.161579999999999,5.24772
"V500","s01.asc",5,0.435849999999999,0.17822,4.76264
"V500","s01.asc",5,0.21442,0.0122199999999992,5.2413
"V500","s01.asc",5,0.270859999999999,0.362069999999999,4.75767
"V500","s01.asc",5.5,0,0.21626,5.45046
"V500","s01.asc",5.5,0.368669999999998,0.24898,5.25017
"V500","s01.asc",5.5,0.163149999999998,0,5.484
"V500","s01.asc",5.5,0.20927,0.362579999999999,5.25403
"V500","s01.asc",6,NA,NA,NA
"V500","s01.asc",6,NA,NA,NA
"V500","s01.asc",6,NA,NA,NA
"V500","s01.asc",6,NA,NA,NA
"V500","s01.asc",6.5,NA,NA,NA
"V500","s01.asc",6.5,NA,NA,NA
"V500","s01.asc",6.5,NA,NA,NA
"V500","s01.asc",6.5,NA,NA,NA
"V500","s01.asc",7,NA,NA,NA
"V500","s01.asc",7,NA,NA,NA
"V500","s01.asc",7,NA,NA,NA
"V500","s01.asc",7,NA,NA,NA
"V500","s02.asc",0.5,0.159039999999997,0.470549999999999,0.321820000000001
