"sF","treid","slice","X","Y","Z"
"V400","s01.asc",0.1,0.0851700000000015,0.477679999999999,0.0559999999999992
"V400","s01.asc",0.1,0.519780000000001,0.35679,0.0671999999999997
"V400","s01.asc",0.1,0.307860000000002,0.21949,0.0631000000000004
"V400","s01.asc",0.1,0.275640000000003,0.632,0.0731999999999999
"V400","s01.asc",0.2,0.10211,0.44187,0.160600000000001
"V400","s01.asc",0.2,0.51558,0.37379,0.1807
"V400","s01.asc",0.2,0.296140000000001,0.236039999999999,0.1769
"V400","s01.asc",0.2,0.306640000000002,0.61745,0.150600000000001
"V400","s01.asc",0.3,0.10838,0.448919999999999,0.254200000000001
"V400","s01.asc",0.3,0.511840000000003,0.39024,0.261900000000001
"V400","s01.asc",0.3,0.299410000000002,0.235099999999999,0.3284
"V400","s01.asc",0.3,0.32517,0.612069999999999,0.2837
"V400","s01.asc",0.4,0.112010000000001,0.451420000000001,0.3508
"V400","s01.asc",0.4,0.510010000000001,0.39222,0.3979
"V400","s01.asc",0.4,0.292640000000002,0.232150000000001,0.448
"V400","s01.asc",0.4,0.282170000000001,0.606019999999999,0.3964
"V400","s01.asc",0.5,0.11326,0.450340000000001,0.461499999999999
"V400","s01.asc",0.5,0.506690000000003,0.37799,0.4541
"V400","s01.asc",0.5,0.30593,0.227320000000001,0.5419
"V400","s01.asc",0.5,0.280140000000003,0.59817,0.494199999999999
"V400","s01.asc",0.6,0.117440000000002,0.40225,0.6006
"V400","s01.asc",0.6,0.50442,0.38279,0.563599999999999
"V400","s01.asc",0.6,0.299340000000001,0.22171,0.6494
"V400","s01.asc",0.6,0.305010000000003,0.59057,0.5558
"V400","s01.asc",0.7,0.117470000000001,0.3881,0.718500000000001
"V400","s01.asc",0.7,0.502930000000003,0.348380000000001,0.663500000000001
"V400","s01.asc",0.7,0.297750000000001,0.21613,0.7384
"V400","s01.asc",0.7,0.308040000000002,0.58222,0.6577
"V400","s01.asc",0.8,0.120470000000001,0.38039,0.7653
"V400","s01.asc",0.8,0.50027,0.366400000000001,0.7666
"V400","s01.asc",0.8,0.309710000000003,0.208460000000001,0.815200000000001
"V400","s01.asc",0.8,0.307210000000001,0.57456,0.7515
"V400","s01.asc",0.9,0.121280000000002,0.399290000000001,0.8812
"V400","s01.asc",0.9,0.498380000000001,0.367459999999999,0.861000000000001
"V400","s01.asc",0.9,0.30827,0.20378,0.9489
"V400","s01.asc",0.9,0.317590000000003,0.56536,0.8527
"V400","s01.asc",1,0.123050000000003,0.36135,0.9658
"V400","s01.asc",1,0.496850000000002,0.369350000000001,0.953200000000001
"V400","s01.asc",1,0.295730000000002,0.198829999999999,1.0392
"V400","s01.asc",1,0.31156,0.55772,0.9613
"V400","s01.asc",1.1,0.123000000000001,0.357519999999999,1.0956
"V400","s01.asc",1.1,0.493170000000003,0.357189999999999,1.0713
"V400","s01.asc",1.1,0.30744,0.194660000000001,1.1408
"V400","s01.asc",1.1,0.311260000000001,0.55302,1.0762
"V400","s01.asc",1.2,0.121370000000002,0.35726,1.1696
"V400","s01.asc",1.2,0.490540000000003,0.33881,1.2329
"V400","s01.asc",1.2,0.295560000000002,0.19201,1.2422
"V400","s01.asc",1.2,0.301310000000001,0.54546,1.1563
"V400","s01.asc",1.3,0.124380000000002,0.361280000000001,1.2621
